akun,anggaran,realisasi,persentase
Pendapatan Daerah,2455.78,2606.95,106.16
     PAD,540.12,625.42,115.79
         Pajak Daerah,332.55,350.61,105.43
         Retribusi Daerah,43.51,29.25,67.22
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,4.74,5.42,114.28
         Lain-Lain PAD yang Sah,159.32,240.14,150.73
     TKDD,1682.16,1673.66,99.5
         Pendapatan Transfer Pemerintah Pusat,1682.16,1673.66,99.5
     Pendapatan Lainnya,233.50,307.87,131.85
         Pendapatan Transfer Antar Daerah,159.42,218.68,137.17
         Pendapatan Hibah,0.00,0.00,0
         Dana Darurat,,,
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,74.08,89.19,120.4
Belanja Daerah,2558.30,2443.31,95.51
     Belanja Pegawai,1068.36,929.95,87.05
     Belanja Barang Jasa,624.25,634.84,101.7
     Belanjaodal,322.45,299.82,92.98
     Belanja Lainnya,543.24,578.70,106.53
         Belanja Bunga,,,
         Belanja Subsidi,,,
         Belanja Hibah,40.64,60.36,148.51
         Belanja Bantuan Sosial,1.32,2.42,182.87
         Belanja Tidak Terduga,32.55,26.30,80.8
         Belanja Bagi Hasil,42.87,35.97,83.9
         Belanja Bantuan Keuangan,425.86,453.66,106.53
Surplus/(Defisit),-102.52,163.64,-159.62
Pembiayaan Daerah,0.00,0.00,0
     Penerimaan Pembiayaan Daerah,130.00,346.22,266.33
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,130.00,346.22,266.33
         Pencairan Dana Cadangan,,,
         Penjualan Kekayaan Daerah yang Dipisahkan,,,
         Penerimaan Pinjaman Daerah,,,
         Penerimaan Kembali Pemberian Pinjaman Daerah,,,
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,,,
     Pengeluaran Pembiayaan Daerah,,,
         Pembentukan Dana Cadangan,,,
         Penyertaanodal Daerah,,,
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,,,
         Pemberian Pinjaman Daerah,,,
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,,,
