akun,anggaran,realisasi,persentase
Pendapatan Daerah,"2.360,12","2.693,89",114.14
     PAD,"480,01","614,73",128.07
         Pajak Daerah,"270,20","310,09",114.76
         Retribusi Daerah,"29,20","55,58",190.37
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,"15,38","17,82",115.92
         Lain-Lain PAD yang Sah,"165,24","231,25",139.94
     TKDD,"1.683,81","1.723,27",102.34
         Pendapatan Transfer Pemerintah Pusat,"1.683,81","1.723,27",102.34
     Pendapatan Lainnya,"196,30","355,89",181.30
         Pendapatan Transfer Antar Daerah,"108,48","221,13",203.85
         Pendapatan Hibah,"0,00","17,15",0.00
         Dana Darurat,"0,00","0,00",0.00
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"87,83","117,61",133.92
Belanja Daerah,"2.457,05","2.464,98",100.32
     Belanja Pegawai,"1.012,25","927,17",91.59
     Belanja Barang Jasa,"611,10","561,88",91.95
     Belanjaodal,"266,94","384,85",144.17
     Belanja Lainnya,"566,76","591,08",104.29
         Belanja Bunga,"0,00","0,00",0.00
         Belanja Subsidi,"0,00","0,00",0.00
         Belanja Hibah,"90,39","117,62",130.12
         Belanja Bantuan Sosial,"18,08","16,84",93.14
         Belanja Tidak Terduga,"26,47","17,41",65.76
         Belanja Bagi Hasil,"30,09","38,60",128.30
         Belanja Bantuan Keuangan,"401,74","400,62",99.72
Surplus/(Defisit),"-96,93","228,91",-236.17
Pembiayaan Daerah,"96,93","522,46",539.03
     Penerimaan Pembiayaan Daerah,"96,93","522,46",539.03
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,"96,73","522,41",540.07
         Pencairan Dana Cadangan,"0,00","0,00",0.00
         Penjualan Kekayaan Daerah yang Dipisahkan,"0,00","0,00",0.00
         Penerimaan Pinjaman Daerah,"0,00","0,00",0.00
         Penerimaan Kembali Pemberian Pinjaman Daerah,"0,20","0,05",26.23
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00","0,00",0.00
     Pengeluaran Pembiayaan Daerah,"0,00","0,00",0.00
         Pembentukan Dana Cadangan,"0,00","0,00",0.00
         Penyertaanodal Daerah,"0,00","0,00",0.00
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,"0,00","0,00",0.00
         Pemberian Pinjaman Daerah,"0,00","0,00",0.00
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,"0,00","0,00",0.00
