akun,anggaran,realisasi,persentase
Pendapatan Daerah,3271.54,3133.57,95.78
     PAD,1132.3,1031.39,91.09
         Pajak Daerah,724,721.87,99.71
         Retribusi Daerah,134.29,62.61,46.62
         Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,14.01,11.33,80.88
         Lain-Lain PAD yang Sah,260,235.58,90.61
     TKDD,1710.22,1701.94,99.52
         Pendapatan Transfer Pemerintah Pusat,1710.22,1701.94,99.52
     Pendapatan Lainnya,429.02,400.25,93.29
         Pendapatan Transfer Antar Daerah,358.33,293.21,81.83
         Pendapatan Hibah,0,2.42,0
         Dana Darurat,0,0,0
         Lain-lain Pendapatan Sesuai dengan Ketentuan Peraturan Perundang-Undangan,70.69,104.61,147.99
Belanja Daerah,3433.49,3192.75,92.99
     Belanja Pegawai,942.7,944.57,100.2
     Belanja Barang Jasa,981.01,867.78,88.46
     Belanjaodal,468.83,298.58,63.69
     Belanja Lainnya,1040.95,1081.82,103.93
         Belanja Bunga,0,0,0
         Belanja Subsidi,0,0,0
         Belanja Hibah,287.1,273.45,95.25
         Belanja Bantuan Sosial,23.71,22.02,92.89
         Belanja Tidak Terduga,24.33,29.68,122.01
         Belanja Bagi Hasil,85.84,76.05,88.59
         Belanja Bantuan Keuangan,619.97,680.61,109.78
Surplus/(Defisit),-161.94,-59.18,36.54
Pembiayaan Daerah,161.94,305.96,188.93
     Penerimaan Pembiayaan Daerah,161.94,305.96,188.93
         Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,161.94,305.94,188.92
         Pencairan Dana Cadangan,0,0,0
         Penjualan Kekayaan Daerah yang Dipisahkan,0,0,0
         Penerimaan Pinjaman Daerah,0,0,0
         Penerimaan Kembali Pemberian Pinjaman Daerah,0,0.02,0
         Penerimaan Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,0,0,0
     Pengeluaran Pembiayaan Daerah,0,0,0
         Pembentukan Dana Cadangan,0,0,0
         Penyertaanodal Daerah,0,0,0
         Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,0,0,0
         Pemberian Pinjaman Daerah,0,0,0
         Pengeluaran Pembiayaan Lainnya Sesuai dengan Ketentuan Peraturan Perundang-Undangan,0,0,0
